Field1,Field2,Field3,Time
PAUL A. RUUD,Paul Ruud,"Professor of Economics, Vassar College",Cited by 7449
JEFFREY SACHS,Jeffrey ,"University Professor, Columbia University",Cited by 144004
DAVID SAHN,David Sahn,Economics,Cited by 11254
SHINICHI SAKATA,Shinichi Sakata,Verified email at alumni.ucsd.edu,
STEPHEN SALANT,Stephen Salant,"Professor Emeritus, University of Michigan",Cited by 7821
WILLIAM SCHULZE,,,William Schulze - Verified email at cornell.edu - Cited by 15393
MATTHEW D. SHAPIRO,Matthew D,"Lawrence R. Klein Collegiate Professor of Economics, University of Michigan",Cited by 18275
KARL SHELL,Karl Shell,"Thorne Professor of Economics, Cornell University",Cited by 8749
DAN SILVERMAN,Dan Silverman,Arizona State University,Cited by 4239
KOSALI SIMON,Kosali Simon,"Professor, Indiana University",Cited by 9166
CARL P. SIMON,Carl P,"Professor Emeritus of Mathematics, Economics, Complex Systems, and Public Policy, The …",Cited by 7655
JOEL SLEMROD,Joel Slemrod,"Professor of Economics, University of Michigan",Cited by 35076
LONES SMITH,Lones Smith,"David Blackwell Professor of Economics, University of Wisconsin",Cited by 5070
ROBERT SMITH,,,Robert Smith - Verified email at baruch.cuny.edu - Cited by 5414
ROHINI SOMANATHAN,Rohini Somanathan,"Professor, Delhi School of Economics",Cited by 2998
JOSEPH STIGLITZ,Joseph ,"University Professor, Columbia University",Cited by 355394
DMITRIY STOLYAROV,,,Dmitriy Stolyarov - Verified email at umich.edu - Cited by 796
JAN SVEJNAR,Jan Svejnar,Columbia University,Cited by 11389
BHASKARAN SWAMINATHAN,Bhaskaran Swaminathan,LSV Asset Management,Cited by 12999
EMMANUEL SAEZ,Emmanuel Saez,"Professor of Economics, UC Berkeley",Cited by 61617
PLUTARCHOS SAKELLARIS,Plutarchos Sakellaris,Athens University of Economics and Business,Cited by 1492
SETH SANDERS,,,Seth R Sanders - Verified email at berkeley.edu - Cited by 14555
WILLIAM SANDHOLM,William ,"Professor of Economics, University of Wisconsin",Cited by 6002
RAJIV SARIN,,,Rajiv Sarin - Verified email at actrec.gov.in - Cited by 6959
THOMAS SAVING,Thomas Saving,"Professor of Economics, Texas A&M University",Cited by 2376
JOSE A. SCHEINKMAN,Jose ,Columbia University,Cited by 47370
SUSANNE SCHENNACH,Susanne Schennach,"Professor of Economics, Brown University",Cited by 5008
RICHARD SCHMALENSEE,Richard Schmalensee,Massachusetts Institute of Technology,Cited by 39425
JOHN SCHNEIDER,,,"John Schneider MD, MPH - Verified email at bsd.uchicago.edu - Cited by 4792"
MARTIN SCHNEIDER,,,Martin Schneider - Verified email at stanford.edu - Cited by 10122
JOHN KARL SCHOLZ,John Karl Scholz,University of Wisconsin - Madison,Cited by 9854
FRANK SCHORFHEIDE,Frank Schorfheide,"Professor of Economics, University of Pennsylvania",Cited by 15164
ANDREW SCHOTTER,Andrew Schotter,Professor of Economics,Cited by 13214
PAUL SCHULTZ,Paul Schultz,University of Notre Dame,Cited by 9817
ROBERT SCHWAB,Robert Schwab,"Professor of Economics, University of Maryland",Cited by 9981
MICHAEL SCHWARZ,,,Michael Schwarz - Verified email at uni-tuebingen.de - Cited by 14021
ILYA SEGAL,Ilya Segal,Stanford University,Cited by 8658
ROBERTO SERRANO,Roberto Serrano,"Professor of Economics, Brown University",Cited by 5293
CHRIS SHANNON,Christopher Shannon,University of Texas Health Science Center at San Antonio,Cited by 791
CARL SHAPIRO,Carl SHAPIRO,University of California at Berkeley,Cited by 81729
LLOYD S. SHAPLEY,Lloyd S,Professor at University of California Los Angeles,Cited by 54626
JOHN SHEA,,,John Shea - Verified email at econ.umd.edu - Cited by 3213
ROBERT P. SHERMAN,Robert P Sherman,California Institute of Technology,Cited by 8145
ROBERT SHIMER,Robert Shimer,"Professor of Economics, University of Chicago",Cited by 17154
CAROL SHIUE,Carol ,"Professor of Economics, University of Colorado, Boulder",Cited by 1518
ANDREI SHLEIFER,Andrei Shleifer,Harvard University,Cited by 392506
JOHN B. SHOVEN,John Shoven,Professor of Economics,Cited by 17825
MARTIN SHUBIK,Martin Shubik,Yale,Cited by 25528
MATT SHUM,Matthew Shum,"J. Stanley Johnson Professor of Economics, Caltech",Cited by 5345
DAVID SIBLEY,David ,National Institutes of Health,Cited by 30798
CHRISTOPHER A. SIMS,Christopher Sims,"Professor of Economics, Princeton University",Cited by 71026
MARCIANO SINISCALCHI,Marciano Siniscalchi,"Professor of Economics, Northwestern University",Cited by 2734
CHRISTOPHER SLEET,Christopher Sleet,University of Rochester,Cited by 1400
FRANK SLOAN,Frank ,J. Alexander McMahon Professor of Health Policy and Management and Professor of …,Cited by 28818
STEPHEN SMALE,Stephen SMALE,professor cityu of hong kong,Cited by 44700
JEFFREY SMITH,,,Jeffrey Smith - Verified email at ssc.wisc.edu - Cited by 24888
JAMES SNYDER,James Snyder,Harvard University,Cited by 23993
RODRIGO SOARES,,,Rodrigo Martins Soares - Verified email at usp.br - Cited by 4905
JOEL SOBEL,Joel Sobel,"Department of Economics, University of California, San Diego",Cited by 17900
JOHN SOLOW,John Solow,"Professor of Economics, University of Iowa",Cited by 861
FRANCESCO SQUINTANI,Francesco Squintani,"Professor of Economics, University of Warwick",Cited by 2701
ROBERT STAIGER,Robert ,"Professor of Economics, Dartmouth College",Cited by 13196
RICHARD STARTZ,Richard Startz,"Professor of Economics, UC Santa Barbara",Cited by 9236
JEREMY STEIN,Jeremy ,Harvard University,Cited by 91567
STEVEN STERN,,,Steve J Stern - Verified email at wisc.edu - Cited by 7262
ANN HUFF STEVENS,Ann Stevens,University of Texas at Austin,Cited by 7247
JOHN STEWART,John ,"Professor of Evolutionary Palaeoecology, Bournemouth University",Cited by 6091
JOHN STRAUB,John ,"Professor of Chemistry, Boston University",Cited by 26941
KOLEMAN STRUMPF,Koleman Strumpf,"Professor of Economics, Wake Forest University",Cited by 3795
YIXIAO SUN,Yixiao ,Stanford University,Cited by 538
LARS E.O. SVENSSON,Lars EO Svensson,Stockholm School of Economics,Cited by 40773
CHAD SYVERSON,Chad Syverson,University of Chicago Booth School of Business,Cited by 18664
PANKAJ TANDON,Pankaj Tandon,Boston University,Cited by 2199
SHARON         TENNYSON,Sharon Tennyson,"Professor of Public Policy and Economics, Cornell University",Cited by 3626
ERIK       THORBECKE,Erik Thorbecke,HE Babcock Professor of Economics Emeritus Cornell University,Cited by 20157
CHRISTOPHER TABER,,,Christopher Taber - Verified email at wisc.edu - Cited by 10795
STEVEN TADELIS,Steven Tadelis,"Professor of Economics, Business and Public Policy, UC Berkeley",Cited by 9939
ALESSANDRO TAROZZI,Alessandro Tarozzi,"Professor, Department of Economics, European University Institute",Cited by 2831
BART TAUB,Bart Taub,University of Glasgow,Cited by 670
HELEN TAUCHEN,Helen Tauchen,"Professor of Economics, University of North Carolina at Chapel Hill",Cited by 1575
GEORGE TAUCHEN,George Tauchen,Professor of Economics,Cited by 22966
JOHN B. TAYLOR,John B,"Raymond Professor of Economics, Stanford University",Cited by 105797
M. SCOTT TAYLOR,M,"Former President CEA & Canada Research Chair in International, Energy and …",Cited by 18797
CURTIS TAYLOR,,,Curtis Taylor - Verified email at econ.duke.edu - Cited by 4360
JASON TAYLOR,,,Jason R Taylor - Verified email at manchester.ac.uk - Cited by 2969
TED TEMZELIDES,Ted ,Rice University,Cited by 1742
DUNCAN THOMAS,,,Duncan Thomas - Verified email at usc.edu - Cited by 33101
ROBERT THOMAS,Robert Thomas,"Professor of ECE, Cornell University",Cited by 55076
JULIA THOMAS,Julia ,Ohio State University,Cited by 2213
SAMUEL THOMPSON,,,Samuel Thompson - Verified email at uab.edu - Cited by 466
GUOQIANG TIAN,Guoqiang Tian,"Professor of Economics, Texas A&M University",Cited by 2759
ALLAN TIMMERMANN,,,Allan Timmermann - Verified email at ucsd.edu - Cited by 27835
CHRISTOPHER TIMMINS,Christopher Timmins,"Professor of Economics, Duke University",Cited by 7028
PETRA TODD,Petra Todd,"University of Pennsylvania, Dept of Economics",Cited by 35519
GIORGIO TOPA,Giorgio Topa,"Vice President, Microeconomic Studies, Federal Reserve Bank of New York",Cited by 7600
EDWARD TOWER,Edward Tower,Duke University,Cited by 2413
ROBERT TOWNSEND,Robert ,Elizabeth & James Killian Professor of Economics,Cited by 24337
KENNETH E. TRAIN,Kenneth Train,"Professor of Economics, University of California, Berkeley",Cited by 48907
STEPHEN TREJO,Stephen Trejo,University of Texas at Austin,Cited by 5109
GAUTAM TRIPATHI,Gautam Tripathi,"Professor of Econometrics, Center for Research in Economics and Management (CREA) …",Cited by 768
SARAH TURNER,,,Sarah Turner - Verified email at virginia.edu - Cited by 9954
STEPHEN TURNOVSKY,Stephen Turnovsky,"Professor of Economics, University of Washington",Cited by 20609
THEODORE TUROCY,Theodore Turocy,"Professor of Economics, University of East Anglia",Cited by 1434
JOHN TYLER,John ,Brown University,Cited by 5264
LAURA D'ANDREA TYSON,Laura D,"Haas School of Business, UC Berkeley",Cited by 10338
MIGUEL URQUIOLA,Miguel Urquiola,"Professor, Columbia University",Cited by 6037
CHRISTOPHER UDRY,Christopher Udry,"Professor of Economics, Northwestern University",Cited by 24224
MANUELITA URETA,Manuelita Ureta,"Associate Professor of Economics, Texas A&M University",Cited by 2674
MARTIN URIBE,Martin Uribe,"Professor of Economics, Columbia University",Cited by 22214
KLAAS VAN 'T VELD,Klaas ,"Associate Professor of Economics, University of Wyoming",Cited by 5108
INGO VOGELSANG,Ingo Vogelsang,"Professor of Economics, Boston University",Cited by 7112
TIM VOGELSANG,Timothy ,"Addy Professor of Economics, Michigan State University",Cited by 7169
LISE VESTERLUND,Lise Vesterlund,"Mellon Professor of Economics, University of Pittsburgh",Cited by 14690
ANNE P. VILLAMIL,Anne Villamil,University of Iowa,Cited by 1921
DANIEL VINCENT,,,Vincent Daniel - Verified email at buckeyemail.osu.edu - Cited by 12959
RAJIV VOHRA,,,Rajiv Vohra - Verified email at brown.edu - Cited by 3559
EDWARD VYTLACIL,Edward Vytlacil,"Professor of Economics, New York University",Cited by 12493
MICHAEL WALDMAN,Michael Waldman,"Charles H. Dyson Professor of Management and Professor of Economics, Cornell University",Cited by 9681
HENRY WAN,Henry Wan,"Emeritus Professor of Economics, Cornell University",Cited by 2743
JORGEN WEIBULL,Jorgen Weibull,"professor of economics, Stockholm School of Economics",Cited by 17086
YI WEN,,,Yi WEN - Verified email at stls.frb.org - Cited by 4029
WARREN WHATLEY,Warren Whatley,University of Michigan,Cited by 1294
GEOFFREY WALLACE,Geoffrey ,University of Washington,Cited by 731
JOHN WALLIS,John ,"Professor of Economics, University of Maryland",Cited by 14777
MARK W. WATSON,Mark Watson,"Department of Economics, Princeton University",Cited by 85791
JOEL WATSON,Joel Watson,"Professor of Economics, UC San Diego",Cited by 5037
CHAO WEI,,,Wei-Lun (Harry) Chao 趙偉崙 - Verified email at osu.edu - Cited by 5658
DAVID WEIL,,,David Weil - Verified email at Brown.edu - Cited by 45781
MARTIN WEITZMAN,Martin Weitzman,"Professor of Economics, Harvard University",Cited by 38337
IVO WELCH,ivo welch,ucla,Cited by 49095
JAN WERNER,,,Jan M. Werner - Verified email at uk-koeln.de - Cited by 589
IVAN WERNING,Ivan Werning,MIT,Cited by 11056
KENNETH WEST,Kenneth ,University of Wisconsin - Madison,Cited by 43804
WILLIAM WHEATON,william ,MIT,Cited by 12252
MICHAEL WHINSTON,Michael Whinston,"Professor of Economics and Sloan Fellows Professor of Management, MIT",Cited by 37710
MICHELLE WHITE,Michelle ,"Professor of Economics, University of California San Diego",Cited by 12167
CHARLES WHITEMAN,Charles Whiteman,"Dean, Smeal College of Business, The Pennsylvania State University",Cited by 7496
STEVEN WIGGINS,,,Steve Wiggins - Verified email at odi.org.uk - Cited by 6996
PETER J WILCOXEN,Peter J Wilcoxen,"Professor, Syracuse University",Cited by 7527
ROBERTON C WILLIAMS,Roberton C,"University of Maryland, Resources for the Future, and NBER",Cited by 4722
NOAH WILLIAMS,Noah Williams,"Professor of Economics, Miami Herbert Business School, University of Miami",Cited by 4030
STEVEN R. WILLIAMS,,,Steven R. Williams - Verified email at unimelb.edu.au - Cited by 2680
STEPHEN WILLIAMSON,,,Stephen Williamson - Verified email at kumc.edu - Cited by 9152
ROBERT D. WILLIG,Robert Willig,"Professor of Economics and Public Affairs, Princeton University",Cited by 24590
PAUL WILSON,,,Paul W. Wilson - Verified email at clemson.edu - Cited by 24349
JOHN D. WILSON,Wilson,"Professor of Earth and Atmospheric Sciences, University of Alberta",Cited by 6905
THOMAS WISEMAN,Thomas Wiseman,"Economics, University of Texas",Cited by 620
FRANK A. WOLAK,Frank ,"Professor of Economics, Stanford University",Cited by 10256
BARBARA WOLFE,Barbara Wolfe,University of Wisconsin-Madison,Cited by 24564
STEPHEN A. WOODBURY,Stephen Woodbury,"Professor of Economics, Michigan State University",Cited by 2298
JEFFREY M. WOOLDRIDGE,Jeffrey M,"University Distinguished Professor of Economics, Michigan State University",Cited by 136283
MARK WRIGHT,,,Mark D. Wright - Verified email at monash.edu - Cited by 5983
GAVIN WRIGHT,,,Gavin M Wright - Verified email at svhm.org.au - Cited by 22011
RANDALL WRIGHT,Randall Wright,"Professor of Finance, University of Wisconsin Madison",Cited by 21984
XIAODONG WU,,,Xiaodong Wu - Verified email at uiowa.edu - Cited by 5887
WEI XIONG,,,Wei Xiong - Verified email at csu.edu.cn - Cited by 19506
LIXIN YE,Lixin Ye,"Professor of Economics, The Ohio State University",Cited by 1788
LEEAT YARIV,Leeat Yariv,Princeton University,Cited by 5811
STEPHEN YEAPLE,Stephen Yeaple,Penn State University,Cited by 14990
HUSEYIN YILDIRIM,,,Huseyin Yildirim - Verified email at econ.duke.edu - Cited by 1363
MUHAMET YILDIZ,Muhamet Yildiz,"Professor of Economics, MIT",Cited by 1642
MEHMET YORUKOGLU,,,Mehmet Yorukoglu - Verified email at ku.edu.tr - Cited by 2753
TAO      ZHU,Tao Zhu,"Chongqing University, University of Ottawa",Cited by 8308
WILLIAM R. ZAME,William Zame,"Professor of Economics, UCLA",Cited by 7069
RUI ZHAO,,,Rui Zhao(赵锐) - Verified email at e.ntu.edu.sg - Cited by 5519
CHARLES ZHENG,Charles ,National Institute of Mental Health,Cited by 309
ERIC ZIVOT,Eric Zivot,"Professor of Economics, University of Washington",Cited by 15646
DONALD ANDREWS,Donald Andrews,"Psychology/Criminology and Criminal Justice, Carleton University",
DONALD BROWN,,,Donald W Brown - Verified email at lanl.gov - Cited by 14097
ROBERT DE JONG,,,Robert J.Baatenburg de Jong - Verified email at erasmusmc.nl - Cited by 9790
EDUARDO ENGEL,Eduardo Engel,"Professor of Economics, University of Chile.",Cited by 9228
HANMING FANG,Hanming Fang,"Joseph M. Cohen Term Professor of Economics, University of Pennsylvania",Cited by 7589
