"","title","jcode","vol","no","pages","author1","author2","author3","author4","author5","keyauthor1","keyauthor2","keyauthor3","keyauthor4","keyauthor5","authors"
"1299","Computational Complexity and Communication: Coordination in Two–Player Games",4,70,5,35,"Amparo Urbano","Jose E. Vila","","","","OtherAuthor","OtherAuthor","","","",2
"1300","Computing Equilibria when Asset Markets are Incomplete",4,64,1,27,"Donald J. Brown","Peter M. Demarzo","B. Curtis Eaves","","","brown6","OtherAuthor","OtherAuthor","","",3
"1301","Computing Inequality: Have Computers Changed the Labor Market?",3,113,4,45,"David H. Autor","Lawrence F. Katz","Alan B. Krueger","","","Autor","Katz1","OtherAuthor","","",3
"1302","Computing Multi-Period, Information-Constrained Optima",5,58,5,29,"Christopher Phelan","Robert M. Townsend","","","","OtherAuthor","Townsend3","","","",2
"1303","Computing Normal Form Perfect Equilibria for Extensive Two-Person Games",4,70,2,23,"Bernhard von Stengel","Antoon van den Elzen","Dolf Talman","","","OtherAuthor","OtherAuthor","OtherAuthor","","",3
"1304","Computing Simply Stable Equilibria",4,60,5,32,"Robert Wilson","","","","","OtherAuthor","","","","",1
"1305","Computing the Impact of Social Security Using the Life Cycle Consumption Functio",1,73,5,17,"Samuel H. Williamson","Warren L. Jones","","","","OtherAuthor","OtherAuthor","","","",2
"1306","Conditional Choice Probabilities and the Estimation of Dynamic Models",5,60,3,33,"V. Joseph Hotz","Robert A. Miller","","","","Hotz","OtherAuthor","","","",2
"1307","Conditional Heteroskedasticity in Asset Returns: A New Approach",4,59,2,24,"Daniel B. Nelson","","","","","OtherAuthor","","","","",1
"1308","Conditioning and Aggregation of Preferences",4,65,2,21,"Costis Skiadas","","","","","OtherAuthor","","","","",1
"1309","Conditions for Identification in Nonparametric and Parametric Models",4,56,2,15,"Charles S. Roehrig","","","","","OtherAuthor","","","","",1
"1310","Conditions for the Existence of a Balance Growth Solution for the Leontief Dynam",4,53,6,10,"Daniel B. Szyld","","","","","OtherAuthor","","","","",1
"1311","Conditions for Unique Solutions in Stochastic Macroeconomic Models with Rational",4,57,1,1,"John B. Taylor","","","","","Taylor2","","","","",1
"1312","Confidence and the Real Value of Money in an Overlapping Generations Economy",3,102,1,22,"Philippe Weil","","","","","OtherAuthor","","","","",1
"1313","Conflict Among the Criteria Revisited; The W, LR and LM Tests",4,50,3,12,"G. B. A. Evans","N. E. Savin","","","","OtherAuthor","OtherAuthor","","","",2
"1314","Conflict and Contract: The Case of Strikes",2,88,5,20,"Melvin W. Reder","George R. Neumann","","","","OtherAuthor","Neumann30","","","",2
"1315","Conflicts and Common Interests in Committees",1,91,5,20,"Hao Li","Sherwin Rosen","Wing Suen","","","OtherAuthor","OtherAuthor","OtherAuthor","","",3
"1316","Confuser Surplus",1,74,1,11,"Edward R. Morey","","","","","OtherAuthor","","","","",1
"1317","Congestion of Production Factors",4,48,7,9,"Rolf Fare","Leif Svensson","","","","OtherAuthor","OtherAuthor","","","",2
"1318","Congestion Pricing and Capacity of Large Hub Airports: A Bottleneck Model with S",4,63,2,44,"Joseph I. Daniel","","","","","OtherAuthor","","","","",1
"1319","Conglomerate Power without Market Power: The Effects of Conglomeration on a Risk",1,70,3,5,"Ralph M. Bradburd","","","","","OtherAuthor","","","","",1
"1320","Consensus and Dissension among Economists: An Empirical Inquiry",1,74,5,9,"Bruno S. Frey","Werner W. Pommerehne","Friedrich Schneider","Guy Gilbert","","OtherAuthor","OtherAuthor","OtherAuthor","OtherAuthor","",4
"1321","Consensus and Uncertainty in Economic Prediction",2,94,3,31,"Victor Zarnowitz","Louis A. Lambros","","","","OtherAuthor","OtherAuthor","","","",2
"1322","Consensus and Uncertainty in Economic Prediction",2,95,3,31,"Victor Zarnowitz","Louis A. Lambros","","","","OtherAuthor","OtherAuthor","","","",2
"1323","Consensus Beliefs, Information Acquisition, and Market Information Efficiency",1,70,5,11,"Robert E. Verrecchia","","","","","OtherAuthor","","","","",1
"1324","Considerations of Fairness and Strategy: Experimental Data From Sequential Games",3,107,3,24,"Vesna Prasnikar","Alvin E. Roth","","","","OtherAuthor","Roth1","","","",2
"1325","Considering an Informational Role for a Futures Market",5,51,1,20,"Pamela P. Brannen","Edwin F. Ulveling","","","","OtherAuthor","OtherAuthor","","","",2
"1326","Consistency and Asymptotic Normality of the Quasi-Maximum Likelihood Estimator i",4,64,3,22,"Robin L. Lumsdaine","","","","","OtherAuthor","","","","",1
"1327","Consistency of Kernel Estimators of Heteroscedastic and Autocorrelated Covarianc",4,68,2,17,"Robert M. de Jong","James Davidson","","","","de Jong","OtherAuthor","","","",2
"1328","Consistent Estimation of Minimal Subset Dimension",4,51,2,10,"R. Kohn","","","","","OtherAuthor","","","","",1
"1329","Consistent Estimation of Scaled Coefficients",4,54,6,21,"Thomas M. Stoker","","","","","OtherAuthor","","","","",1
"1330","Consistent Estimation of the Impact of Tax Deductibility on the Level of Charita",4,53,2,24,"William S. Reece","Kimberly D. Zieschang","","","","OtherAuthor","OtherAuthor","","","",2
"1331","Consistent Model Specification Tests: Omitted Variables and Semiparametric Funct",4,64,4,26,"Yanqin Fan","Qi Li","","","","OtherAuthor","OtherAuthor","","","",2
"1332","Consistent Moment Selection Procedures for Generalized Method of Moments Estimat",4,67,3,21,"Donald W. K. Andrews","","","","","andrews6","","","","",1
"1333","Consistent Nonparametric Entropy-Based Testing",5,58,3,17,"P. M. Robinson","","","","","OtherAuthor","","","","",1
"1334","Consistent Plans",5,47,3,5,"Steven M. Goldman","","","","","Goldman7","","","","",1
"1335","Consistent Sets of Estimates for Regressions with Errors in All Variables",4,52,1,22,"Steven Klepper","Edward E. Leamer","","","","OtherAuthor","Leamer","","","",2
"1336","Consistent Solutions in Atomless Economies",4,61,3,13,"William Thomson","Lin Zhou","","","","Thomson13","OtherAuthor","","","",2
"1337","Consistent Specification Testing Via Nonparametric Series Regression",4,63,5,27,"Yongmiao Hong","Halbert White","","","","HONG18","White16","","","",2
"1338","Consistent Testing for Serial Correlation of Unknown Form",4,64,4,28,"Yongmiao Hong","","","","","HONG18","","","","",1
"1339","Consistent Tests for Stochastic Dominance",4,71,1,34,"Garry F. Barrett","Stephen G. Donald","","","","OtherAuthor","Donald31","","","",2
"1340","Constant, Increasing and Decreasing Risk Aversion with Many Commodities",5,48,2,10,"Richard E. Kihlstrom","Leonard J. Mirman","","","","OtherAuthor","Mirman","","","",2
"1341","Constitutional Rules of Exclusion in Jurisdiction Formation",5,68,2,21,"Philippe Jehiel","Suzanne Scotchmer","","","","OtherAuthor","Scotchmer","","","",2
"1342","Constrained Plott Equilibria, Directional Equilibria and Global Cycling Sets",5,47,5,12,"Linda Cohen","Steven Matthews","","","","OtherAuthor","Matthews8","","","",2
"1343","Consumer Behavior and the Stickiness of Credit-Card Interest Rates",1,85,5,10,"Paul S. Calem","Loretta J. Mester","","","","OtherAuthor","OtherAuthor","","","",2
"1344","Consumer Demand and Equilibrium Unemployment in a Working Model of the Customer-",3,107,3,30,"Edmund S. Phelps","","","","","PHELPS12","","","","",1
"1345","Consumer Demand and the Life-Cycle Allocation of Household Expenditures",5,61,1,24,"Richard Blundell","Martin Browning","Costas Meghir","","","OtherAuthor","OtherAuthor","OtherAuthor","","",3
"1346","Consumer Differences and Prices in a Search Model",3,102,2,8,"Peter Diamond","","","","","Diamond","","","","",1
"1347","Consumer Discrimination and Self-Employment",2,97,3,25,"George J. Borjas","Stephen G. Bronars","","","","OtherAuthor","OtherAuthor","","","",2
"1348","Consumer Durable Choice and the Demand for Electricity",2,93,4,5,"John Rust","","","","","Rust","","","","",1
"1349","Consumer Durables and Inertial Behaviour: Estimation and Aggregation of (S, s) R",5,67,4,20,"Orazio P. Attanasio","","","","","OtherAuthor","","","","",1
"1350","Consumer Information in Markets with Random Product Quality: The Case of Queues",4,54,5,12,"Refael Hassin","","","","","OtherAuthor","","","","",1
"1351","Consumer Investment in Product-Specific Capital: The Monopoly Case",3,105,3,13,"Thomas J. Holmes","","","","","Holmes10","","","","",1
"1352","Consumer Rationality and Credit Cards",1,103,2,34,"Dagobert L. Brito","Peter R. Hartley","","","","OtherAuthor","OtherAuthor","","","",2
"1353","Consumer Rationality and the Status Quo",3,106,1,22,"Raymond S. Hartman","Michael J. Doane","Chi-Keung Woo","","","OtherAuthor","OtherAuthor","OtherAuthor","","",3
"1354","Consumer Response to the Timing of Income: Evidence from a Change in Tax Withhol",1,85,1,10,"Matthew D. Shapiro","Joel Slemrod","","","","SHAPIRO14","SLEMROD","","","",2
"1355","Consumer Search and Alternative Market Equilibria",5,47,3,16,"Avishay Braverman","","","","","OtherAuthor","","","","",1
"1356","Consumer Search with Uncertain Product Quality, pp",2,89,1,13,"John D. Hey","Chris J. McKenna","","","","OtherAuthor","OtherAuthor","","","",2
"1357","Consumer Surplus when Preferences are Intransitive: Analysis and Interpretation",4,49,2,16,"John Fountain","","","","","OtherAuthor","","","","",1
"1358","Consumers' Evaluation of New Products: Learning from Self and Others",2,104,4,21,"Daniel L. McFadden","Kenneth E. Train","","","","McFadden7","Train","","","",2
"1359","Consumer's Surplus and Welfare Change in a Simple Dynamic Model",5,51,1,6,"Charles Blackorby","David Donaldson","David Moloney","","","OtherAuthor","OtherAuthor","OtherAuthor","","",3
"1360","Consumer's Surplus as an Exact Approximation When Prices are Appropriately Defla",3,103,3,11,"Martin L. Weitzman","","","","","Weitzman","","","","",1
"1361","Consumer's Surplus in Commodity Space",1,70,3,7,"Alan Randall","John R. Stoll","","","","OtherAuthor","OtherAuthor","","","",2
"1362","Consumer's Surplus, Price Instability, and Consumer Welfare",4,48,1,18,"Stephen J. Turnovsky","Haim Shalit","Andrew Schmitz","","","Turnovsky","OtherAuthor","OtherAuthor","","",3
"1363","Consumption and Aggregate Constraints: Evidence from U.S. States and Canadian Pr",2,110,3,13,"Charlotte Ostergaard","Bent E. Sorensen","Oved Yosha","","","OtherAuthor","OtherAuthor","OtherAuthor","","",3
"1364","Consumption and Capital Market Imperfections: An International Comparison",1,79,5,18,"Tullio Jappelli","Marco Pagano","","","","OtherAuthor","Pagano","","","",2
"1365","Consumption and Income Seasonality in Thailand",2,101,1,34,"Christina H. Paxson","","","","","Paxson5","","","","",1
"1366","Consumption and Liquidity Constraints: An Empirical Investigation",2,97,2,42,"Stephen P. Zeldes","","","","","OtherAuthor","","","","",1
"1367","Consumption and Portfolio Decisions When Expected Returns Are Time Varying",3,114,2,63,"John Y. Campbell","Luis M. Viceira","","","","OtherAuthor","OtherAuthor","","","",2
"1368","Consumption and Unemployment",3,102,2,18,"Mark Dynarski","Steven M. Sheffrin","","","","OtherAuthor","OtherAuthor","","","",2
"1369","Consumption Growth, the Interest Rate and Aggregation",5,60,3,19,"Orazio P. Attanasio","Guglielmo Weber","","","","OtherAuthor","OtherAuthor","","","",2
"1370","Consumption Inequality and Income Uncertainty",3,113,2,38,"Richard Blundell","Ian Preston","","","","OtherAuthor","OtherAuthor","","","",2
"1371","Consumption Over the Life Cycle",4,70,1,43,"Pierre-Olivier Gourinchas","Jonathan A. Parker","","","","Gourinchas","OtherAuthor","","","",2
"1372","Consumption over the Life Cycle and over the Business Cycle",1,85,5,20,"Orazio P. Attanasio","Martin Browning","","","","OtherAuthor","OtherAuthor","","","",2
"1373","Consumption Smoothing, Migration, and Marriage: Evidence from Rural India",2,97,4,22,"Mark R. Rosenzweig","Oded Stark","","","","OtherAuthor","OtherAuthor","","","",2
"1374","Consumption Technology and the Intrafamily Distribution of Resources: Adult Equi",2,96,6,23,"Reuben Gronau","","","","","OtherAuthor","","","","",1
"1375","Consumption Versus Wage Taxation",3,97,2,10,"Elhanan Helpman","Efraim Sadka","","","","Helpman","OtherAuthor","","","",2
"1376","Consumption–Savings Decisions with Quasi–Geometric Discounting",4,71,1,11,"Per Krusell","Anthony A. Smith, Jr.","","","","Krusell","OtherAuthor","","","",2
"1377","Contagion",5,67,1,22,"Stephen Morris","","","","","Morris6","","","","",1
"1378","Contagion and Bank Failures During the Great Depression: The June 1932 Chicago B",1,87,5,21,"Charles W. Calomiris","Joseph R. Mason","","","","OtherAuthor","OtherAuthor","","","",2
"1379","Content Protection and Oligopolistic Interactions",5,55,1,19,"Kala Krishna","Motoshige Itoh","","","","OtherAuthor","OtherAuthor","","","",2
"1380","Contestable Markets and the Theory of Industry Structure: A Review Article",2,91,6,12,"William A. Brock","","","","","Brock15","","","","",1
"1381","Contestable Markets: An Uprising in the Theory of Industry Structure",1,72,1,15,"William J. Baumol","","","","","Baumol","","","","",1
"1382","Context-Dependent Choice with Nonlinear and Nontransitive Preferences",4,56,5,19,"Peter C. Fishburn","Irving H. LaValle","","","","OtherAuthor","OtherAuthor","","","",2
"1383","Continuous Auctions and Insider Trading",4,53,6,22,"Albert S. Kyle","","","","","OtherAuthor","","","","",1
"1384","Continuous Record Asymptotics for Rolling Sample Variance Estimators",4,64,1,36,"Dean P. Foster","Dan B. Nelson","","","","OtherAuthor","OtherAuthor","","","",2
"1385","Continuous Representation of Preferences",5,47,5,5,"Graciela Chichilnisky","","","","","CHICHILNISKY","","","","",1
"1386","Continuous-Valued Binary Decision Procedures",5,47,4,10,"John A. Ferejohn","David M. Grether","Steven A. Matthews","Edward W. Packel","","OtherAuthor","Grether","OtherAuthor","OtherAuthor","",4
"1387","Continuum and Finite-Player Noncooperative Models of Competition",4,52,4,20,"Edward J. Green","","","","","OtherAuthor","","","","",1
"1388","Contract Duration and Relationship-Specific Investments: Empirical Evidence from",1,77,1,18,"Paul L. Joskow","","","","","Joskow","","","","",1
"1389","Contract Enforceability and Economic Institutions in Early Trade: The Maghribi T",1,83,3,24,"Avner Greif","","","","","Greif","","","","",1
"1390","Contract Renegotiation and Coasian Dynamics",5,55,4,32,"Oliver D. Hart","Jean Tirole","","","","Hart1","OtherAuthor","","","",2
"1391","Contracting Between Two Parties with Private Information",5,55,1,21,"John Moore","","","","","OtherAuthor","","","","",1
"1392","Contracting Problems and Regulation: The Case of the Fishery",1,72,5,18,"Ronald N. Johnson","Gary D. Libecap","","","","OtherAuthor","OtherAuthor","","","",2
"1393","Contracting Productivity Growth",5,70,1,27,"Patrick Francois","Joanne Roberts","","","","OtherAuthor","OtherAuthor","","","",2
"1394","Contracting with Externalities",3,114,2,52,"Ilya Segal","","","","","Segal2","","","","",1
"1395","Contracting with Imperfect Commitment and the Revelation Principle: The Single A",4,69,4,22,"Helmut Bester","","","","","OtherAuthor","","","","",1
"1396","Contracts and Money",2,105,4,9,"Boyan Jovanovic","Masako Ueda","","","","Jovanovic","OtherAuthor","","","",2
"1397","Contracts as a Barrier to Entry",1,77,3,14,"Philippe Aghion","Patrick Bolton","","","","Aghion","Bolton5","","","",2
"1398","Contracts, Constraints and Consumption",5,58,5,17,"Edward J. Green","Soo-Nam Oh","","","","OtherAuthor","OtherAuthor","","","",2
"1399","Contractual Fragility, Job Destruction, and Business Cycles",3,112,3,39,"Garey Ramey","Joel Watson","","","","Ramey16","Watson16","","","",2
"1400","Contractual Responses to the Common Pool: Prorationing of Crude Oil Production",1,74,1,12,"Gary D. Libecap","Steven N. Wiggins","","","","OtherAuthor","Wiggins","","","",2
"1401","Contractual Solutions to the Hold-Up Problem",5,59,4,17,"William P. Rogerson","","","","","Rogerson","","","","",1
"1402","Contractual Structure and Wealth Accumulation",1,92,4,31,"Dilip Mookherjee","Debraj Ray","","","","MOOKHERJEE","Ray17","","","",2
"1403","Control and Decontrol of Wages in the United States: An Empirical Analysis",1,71,1,13,"Frank Reid","","","","","OtherAuthor","","","","",1
"1404","Controlling a Stochastic Process with Unknown Parameters",4,56,5,20,"David Easley","Nicholas M. Kiefer","","","","EASLEY18","KIEFER","","","",2
"1405","Controlling Contradictions among Regulations",1,74,3,5,"Lester B. Lave","","","","","OtherAuthor","","","","",1
"1406","Controlling Preferences for Lotteries on Units of Experimental Exchange",3,101,2,26,"Joyce E. Berg","Lane A. Daley","John W. Dickhaut","John R. O'Brien","","OtherAuthor","OtherAuthor","OtherAuthor","OtherAuthor","",4
"1407","Conventional Confidence Intervals for Points on Spectrum have Confidence Level Z",4,67,3,9,"Jon Faust","","","","","OtherAuthor","","","","",1
"1408","Conventional Contracts",5,65,4,20,"H. Peyton Young","","","","","OtherAuthor","","","","",1
"1409","Convergence",2,100,2,29,"Robert J. Barro","Xavier Sala-i-Martin","","","","Barro","SALA-I-MARTIN","","","",2
"1410","Convergence of Least-Squares Learning in Environments with Hidden State Variable",2,97,6,17,"Albert Marcet","Thomas J. Sargent","","","","OtherAuthor","Sargent","","","",2
"1411","Convergence of the South and Non-South Income Distributions, 1969-1979",1,82,1,11,"John A. Bishop","John P. Formby","Paul D. Thistle","","","OtherAuthor","OtherAuthor","OtherAuthor","","",3
"1412","Convergence to Efficiency in a Simple Market with Incomplete Information",4,62,5,23,"Aldo Rustichini","Mark A. Satterthwaite","Steven R. Williams","","","Rustichini","OtherAuthor","Williams28","","",3
"1413","Convergence to Rational Expectations in a Stationary Linear Game",5,59,1,15,"J. S. Jordan","","","","","OtherAuthor","","","","",1
"1414","Convergence to the Law of One Price Without Trade Barriers or Currency Fluctuati",3,111,4,26,"David C. Parsley","Shang-Jin Wei","","","","OtherAuthor","OtherAuthor","","","",2
"1415","Conversion to a Consumption Tax: The Transition in a Life-Cycle Growth Model",2,92,2,21,"Laurence S. Seidman","","","","","OtherAuthor","","","","",1
"1416","Convex Potentials with an Application to Mechanism Design",4,69,4,7,"Vijay Krishna","Eliot Maenner","","","","OtherAuthor","OtherAuthor","","","",2
"1417","Cooperation and Effective Computability",4,63,6,33,"Luca Anderlini","Hamid Sabourian","","","","OtherAuthor","OtherAuthor","","","",2
"1418","Cooperation and Punishment",4,69,4,15,"Robert Evans","Jonathan P. Thomas","","","","OtherAuthor","OtherAuthor","","","",2
"1419","Cooperation and Punishment in Public Goods Experiments",1,90,4,15,"Ernst Fehr","Simon Gachter","","","","OtherAuthor","OtherAuthor","","","",2
"1420","Cooperation in Community Interaction without Information Flows",5,63,3,29,"Parikshit Ghosh","Debraj Ray","","","","OtherAuthor","Ray17","","","",2
"1421","Cooperation in Ongoing Organizations",3,101,1,18,"Jacques Cremer","","","","","OtherAuthor","","","","",1
"1422","Cooperation in Public-Goods Experiments: Kindness or Confusion?",1,85,4,14,"James Andreoni","","","","","Andreoni","","","","",1
"1423","Cooperation in Repeated Games When the Number of Stages is not Commonly Known",4,67,1,20,"Abraham Neyman","","","","","OtherAuthor","","","","",1
"1424","Cooperation in the Prisoner's Dilemma with Anonymous Random Matching",5,61,3,22,"Glenn Ellison","","","","","Ellison","","","","",1
"1425","Cooperation, Conflict, and Power in the Absence of Property Rights",1,82,4,20,"Stergios Skaperdas","","","","","OtherAuthor","","","","",1
"1426","Cooperation, Harassment, and Involuntary Unemployment",1,81,1,1,"Ernst Fehr","","","","","OtherAuthor","","","","",1
"1427","Cooperation, Harassment, and Involuntary Unemployment: An Insider-Outsider Appro",1,78,1,22,"Assar Lindbeck","Dennis J. Snower","","","","OtherAuthor","OtherAuthor","","","",2
"1428","Cooperation, Productivity, and Profit Sharing",3,102,1,14,"Felix R. Fitzroy","Kornelius Kraft","","","","OtherAuthor","OtherAuthor","","","",2
"1429","Cooperative and Noncooperative R & D in Duopoly with Spillovers",1,78,5,5,"Claude D'Aspremont","Alexis Jacquemin","","","","OtherAuthor","OtherAuthor","","","",2
"1430","Cooperative and Noncooperative R&D in an Oligopoly with Spillovers",1,82,5,14,"Kotaro Suzumura","","","","","OtherAuthor","","","","",1
"1431","Cooperative Farming in North China",3,94,2,19,"Dennis L. Chinn","","","","","OtherAuthor","","","","",1
"1432","Cooperative Investments and the Value of Contracting",1,89,1,23,"Yeon-Koo Che","Donald B. Hausch","","","","Che","OtherAuthor","","","",2
"1433","Coordinating Coordination Failures in Keynesian Models",3,103,3,23,"Russell Cooper","Andrew John","","","","COOPER21","OtherAuthor","","","",2
"1434","Coordinating Regime Switches",3,114,3,37,"Christophe Chamley","","","","","CHAMLEY","","","","",1
"1435","Coordination Economies, Advertising, and Search Behavior in Retail Markets",1,84,3,20,"Kyle Bagwell","Garey Ramey","","","","BAGWELL","Ramey16","","","",2
"1436","Coordination in Split Award Auctions",3,107,2,27,"James J. Anton","Dennis A. Yao","","","","OtherAuthor","OtherAuthor","","","",2
"1437","Coordination, Commitment, and Enforcement: The Case of the Merchant Guild",2,102,4,32,"Avner Greif","Paul Milgrom","Barry R. Weingast","","","Greif","Milgrom","OtherAuthor","","",3
"1438","Coping with Complexity: The Adaptive Value of Changing Utility",1,74,1,13,"Michael D. Cohen","Robert Axelrod","","","","OtherAuthor","OtherAuthor","","","",2
"1439","Copying and Indirect Appropriability: Photocopying of Journals",2,93,5,13,"S. J. Liebowitz","","","","","OtherAuthor","","","","",1
"1440","Core Inflation",2,90,6,4,"Alan S. Blinder","","","","","Blinder","","","","",1
"1441","Core Theory with Strongly Convex Preferences",4,49,6,12,"Robert M. Anderson","","","","","Anderson7","","","","",1
"1442","Corn at Interest: The Extent and Cost of Grain Storage in Medieval England",1,74,1,14,"Donald N. McCloskey","John Nash","","","","OtherAuthor","OtherAuthor","","","",2
"1443","Corporate Conservatism and Relative Compensation",1,103,1,25,"Jeffrey Zwiebel","","","","","OtherAuthor","","","","",1
"1444","Corporate Governance",4,69,1,35,"Jean Tirole","","","","","OtherAuthor","","","","",1
"1445","Corporate Governance and Equity Prices",3,118,1,49,"Paul A. Gompers","Joy L. Ishii","Andrew Metrick","","","OtherAuthor","OtherAuthor","OtherAuthor","","",3
"1446","Corporate Structure, Liquidity, and Investment: Evidence from Japanese Industria",3,106,1,28,"Takeo Hoshi","Anil Kashyap","David Scharfstein","","","OtherAuthor","OtherAuthor","OtherAuthor","","",3
"1447","Corporate Tax Integration in the United States: A General Equilibrium Approach",1,71,4,15,"Don Fullerton","A. Thomas King","John B. Shoven","John Whalley","","Fullerton","OtherAuthor","Shoven","OtherAuthor","",4
"1448","Corporate Tax Policy and the Service Life of Capital Equipment",5,48,2,6,"James M. Malcomson","","","","","OtherAuthor","","","","",1
"1449","Corporate Tournaments, Human Capital Acquisition, and the Firm Size-Wage Relatio",5,68,3,24,"Dan Bernhardt","Jan Zabojnik","","","","Bernhardt","OtherAuthor","","","",2
"1450","Corporate-Debt Overhang and Macroeconomic Expectations",1,85,5,12,"Owen Lamont","","","","","OtherAuthor","","","","",1
"1451","Corporation Tax, Finance and the Cost of Capital",5,53,1,20,"Colin Mayer","","","","","OtherAuthor","","","","",1
"1452","Correlated Demand Shocks and Price Wars During Booms",5,58,1,10,"Michihiro Kandori","","","","","OtherAuthor","","","","",1
"1453","Correlated Equilibrium as an Expression of Bayesian Rationality",4,55,1,18,"Robert J. Aumann","","","","","OtherAuthor","","","","",1
"1454","Correlated Information and Mecanism Design",4,60,2,27,"R. Preston McAfee","Philip J. Reny","","","","McAfee","Reny","","","",2
"1455","Corrigendum",3,110,4,1,"Duncan K. Foley","","","","","OtherAuthor","","","","",1
"1456","Corrigendum on A Life Cycle Model of Female Labour Supply",5,49,4,2,"James J. Heckman","Thomas MaCurdy","","","","Heckman","Macurdy","","","",2
"1457","Corruption",3,108,3,19,"Andrei Shleifer","Robert W. Vishny","","","","Shleifer","OtherAuthor","","","",2
"1458","Corruption and Growth",3,110,3,32,"Paolo Mauro","","","","","OtherAuthor","","","","",1
"1459","Cost of Business Cycles with Indivisibilities and Liquidity Constraints",2,97,6,20,"Ayse Imrohoroglu","","","","","OtherAuthor","","","","",1
"1460","Cost Reduction, Competition, and Industry Performance",4,52,1,22,"Michael Spence","","","","","OtherAuthor","","","","",1
"1461","Cost-Benefit Analysis Under Uncertainty",1,71,4,11,"Daniel A. Graham","","","","","Graham22","","","","",1
"1462","Cost-Benefit Criteria and the Compensation Principle in Evaluating Small Project",2,90,4,22,"Neil Bruce","Richard G. Harris","","","","Bruce26","OtherAuthor","","","",2
"1463","Costly Arbitrage: Evidence from Closed-End Funds",3,111,4,17,"Jeffrey Pontiff","","","","","OtherAuthor","","","","",1
"1464","Costly Bargaining and Renegotiation",4,69,2,35,"Luca Anderlini","Leonardo Felli","","","","OtherAuthor","OtherAuthor","","","",2
"1465","Costly Employment Contract Renegotiation and the Labor Mobility of Young Men",1,75,5,16,"John J. Antel","","","","","OtherAuthor","","","","",1
"1466","Costly Monitoring, Loan Contracts, and Equilibrium Credit Rationing",3,102,1,12,"Stephen D. Williamson","","","","","Williamson30","","","","",1
"1467","Costly Predation and the Distribution of Competence",1,91,3,10,"John Conlisk","","","","","Conlisk","","","","",1
"1468","Costs of Adjustment and the Spatial Pattern of a Growing Open City",4,50,6,22,"Oded Hochman","David Pines","","","","OtherAuthor","OtherAuthor","","","",2
"1469","Costs of Price Adjustment and the Welfare Economics of Inflation and Disinflatio",1,78,4,14,"Leif Danziger","","","","","OtherAuthor","","","","",1
"1470","Countably Additive Subjective Probabilities",5,64,1,22,"Maxwell B. Stinchcombe","","","","","Stinchcombe","","","","",1
"1471","Counterfeit-Product Trade",1,78,1,17,"Gene M. Grossman","Carl Shapiro","","","","Grossman5","Shapiro7","","","",2
"1472","Cournot Equilibrium with Free Entry",5,47,3,14,"William Novshek","","","","","OtherAuthor","","","","",1
"1473","Cournot Equilibrium with Free Entry: The Case of Decreasing Average Cost Functio",5,50,2,8,"Yoshiaki Ushio","","","","","OtherAuthor","","","","",1
"1474","Courtship as a Waiting Game",2,101,1,18,"Theodore C. Bergstrom","Mark Bagnoli","","","","OtherAuthor","OtherAuthor","","","",2
"1475","Covariance Matrix Estimation and the Power of the Overidentifying Restrictions T",4,68,6,11,"Alastair R. Hall","","","","","OtherAuthor","","","","",1
"1476","Creating Modern Art: The Changing Careers of Painters in France from Impressioni",1,91,4,9,"David W. Galenson","Bruce A. Weinberg","","","","Galenson","WEINBERG32","","","",2
"1477","Creative Destruction and Firm Organization Choice",3,115,4,37,"David Thesmar","Mathias Thoenig","","","","OtherAuthor","OtherAuthor","","","",2
"1478","Credibility and Changes in Policy Regime",1,103,1,33,"Francisco J. Ruge-Murcia","","","","","OtherAuthor","","","","",1
"1479","Credibility and Policy Convergence in a Two-Party System with Rational Voters",1,78,4,10,"Alberto Alesina","","","","","Alesina","","","","",1
"1480","Credibility and Stabilization",3,106,3,14,"Rudiger Dornbusch","","","","","OtherAuthor","","","","",1
"1481","Credibility of Optimal Monetary Delegation",1,87,5,10,"Henrik Jensen","","","","","OtherAuthor","","","","",1
"1482","Credibility of Policies Versus Credibility of Policymakers",3,109,3,20,"Allan Drazen","Paul R. Masson","","","","Drazen","OtherAuthor","","","",2
"1483","Credible Commitments: Further Remarks",1,74,3,3,"Oliver E. Williamson","","","","","Williamson7","","","","",1
"1484","Credible Commitments: Using Hostages to Support Exchange",1,73,4,22,"Oliver E. Williamson","","","","","Williamson7","","","","",1
"1485","Credible Disinflation with Staggered Price-Setting",1,84,1,8,"Laurence Ball","","","","","Ball33","","","","",1
"1486","Credible Privatization",1,85,4,13,"Enrico C. Perotti","","","","","OtherAuthor","","","","",1
"1487","Credit and Efficiency in Centralized and Decentralized Economies",5,62,4,15,"M. Dewatripont","E. Maskin","","","","OtherAuthor","OtherAuthor","","","",2
"1488","Credit and Money in a Search Model with Divisible Commodities",5,63,4,26,"Shouyong Shi","","","","","OtherAuthor","","","","",1
"1489","Credit Conditions and the Cyclical Behavior of Inventories",3,109,3,28,"Anil K. Kashyap","Owen A. Lamont","Jeremy C. Stein","","","OtherAuthor","OtherAuthor","Stein1","","",3
"1490","Credit Cycles",2,105,2,38,"Nobuhiro Kiyotaki","John Moore","","","","OtherAuthor","OtherAuthor","","","",2
"1491","Credit Market Constraints, Consumption Smoothing, and the Accumulation of Durabl",2,101,2,22,"Mark R. Rosenzweig","Kenneth I. Wolpin","","","","OtherAuthor","Wolpin","","","",2
